parameter,value
gamma,1.8549867628806582
chi1,4.568911270269193
chi2,354.4271709026366
kappa1,1.598603584284757
kappa2,1.0626953206422678
epsilon,0.45658814131677333
sigma1,0.7309323854939556
sigma2,0.9717890810633498
sigma3,4.789097759232663e-06
Fbar,10.44585137637034
