,T1,R
1,0.9150565456233721,7.1713037360204055
2,1.582731407165511,6.41324186978278
3,2.057185100712161,5.552773567095244
4,2.4460277069300673,5.217073978789813
5,2.783407810472454,4.345228388538089
6,2.735881740935838,4.133861761223727
7,2.555726193258181,4.69666603819968
8,2.6354521537675737,5.011393695988119
9,3.1025843040779364,4.319576880050022
10,3.221501941733152,2.9532921359962643
11,2.927565408262467,4.264624525096309
12,2.914347367273649,4.206741667447062
13,2.9684498494814875,4.541642217766764
14,3.4249648925572274,3.2579812872899367
15,3.310709170302232,3.4865072171982376
16,3.1551534661070377,3.841407357829894
17,3.054245798084821,3.96594520464339
18,3.212617564057666,4.059876282574351
19,3.505145523175827,3.4580207929219284
20,3.6176135842310373,2.428338434924825
21,3.1683615575294084,3.6379436754201038
22,3.2302915895017463,3.982901837074536
23,3.3957686837601386,3.6179646322173085
24,3.655113417011421,3.0136090631353625
25,3.5052716903686587,2.858909460616445
26,3.3306845555762266,3.8475755665400584
27,3.3411317676909675,3.6995764954449157
28,3.3753290132495977,3.6887954293865164
29,3.606389887875025,3.844765942717288
30,3.645311588966706,2.1610963377234214
31,3.254518951311468,3.6774027367161466
32,3.3409674744279414,4.0030169761344325
33,3.620224383942059,3.7953728453753968
34,3.9600337703129753,2.4680594457338714
35,3.671204792492972,2.8961341962422296
36,3.473453896195906,3.717890010467954
37,3.5495242688949133,3.453879808399819
38,3.6696493157164696,3.182529292694568
39,3.8423943593272725,3.0285161266587863
40,3.6258537483737427,3.112114893246968
41,3.495611079281275,3.6409035042539983
42,3.6464264420809513,4.0053160575971845
43,3.814381563683071,2.578751885401118
44,3.5506417975229283,3.382293032293461
45,3.58238216901799,3.5861068516561545
46,3.713579244012749,2.9313210265276837
47,3.6426632484540846,2.92426573870938
48,3.5131914617460325,3.5205969614524975
49,3.6268283878483203,3.721420079061403
50,3.930886222421293,2.715410101903643
51,3.6885102659251743,3.220871410631162
52,3.7318762460996027,3.2938448135167846
53,3.967307990400741,2.96691731492146
54,3.8931704255195427,2.026784818466382
55,3.448557237912553,3.050330572258872
56,3.398101397266146,3.5502808453285297
57,3.5422661854992157,3.7888674174270704
58,3.609987952140955,3.3512388046473234
59,3.8456310620242675,3.114375994956646
60,3.8678903326792806,3.1813832113187743
61,3.997085872597836,2.91004962659855
62,3.9176733652402618,2.7657742853033938
63,3.781764376183105,2.453114423359949
64,3.5248928209069277,3.7321595910477185
65,3.599702357775584,3.582310444034846
66,3.911315508594214,3.5764941280835387
67,4.04951289796179,2.356868273591317
68,3.7286521684828813,2.9266099694657726
69,3.727582381052514,3.5862327262146323
70,3.9165379441143955,3.0710718233291345
71,3.8827763056297613,2.2835309590378756
72,3.5707825629874606,3.6224327191913517
73,3.6219462442267627,3.204262051517105
74,3.857985330137467,3.0707334126511228
75,3.8516017216721252,1.8791242834639377
76,3.5352233973463854,3.30830450188634
77,3.591787937425636,3.8174347550902326
78,3.80026630589731,3.127401733398443
79,4.184253189191395,2.760872012621661
80,3.9421186978065634,2.0137082870692495
81,3.4963633166796058,3.3267185576974327
82,3.5512265644856598,3.8077344920537826
83,3.8505894577862136,3.046705293002219
84,3.8640145166475577,2.1219228248073705
85,3.5558392337119358,3.184729359247939
86,3.564974357186941,3.7390195036587386
87,3.758980203184308,3.811158459807075
88,4.052045020848084,2.284538791604234
89,3.794941615588016,2.9432625548480473
90,3.7411109488500074,3.261769396638215
91,3.930757045275527,3.1203431220903894
92,4.0937312800786,2.5132233502114047
93,3.756669479056484,2.81423145450961
94,3.71257659525412,3.416437290139413
95,4.031528596538408,2.9284927159139613
96,3.9731566633459465,2.6216763849127744
97,3.9079230408342482,3.240887179440051
98,3.8851950536231357,2.9192516379160622
99,3.7364873267395637,3.057398798694294
100,3.83093362917964,3.33161587649829
101,4.030149954495414,2.3229268531276546
102,3.709980845307655,2.8022228920296754
103,3.722094651627174,3.607749604525594
104,4.009776670168492,3.1348920012173096
105,4.033691498534324,1.958873842840319
106,3.642054903526855,3.1442712862197197
107,3.728865791529813,3.646360653393913
108,3.9580142591293566,3.0100569424563446
109,4.118429365079635,2.3745258488067122
110,3.776936578933487,2.8686060866264143
111,3.716938853120155,3.0641669704488663
112,3.8965283624308995,3.350992782801768
113,4.211562993611324,2.5924054080492738
114,4.131829006560849,2.066475248989974
115,3.810067297844057,3.3060765096585953
116,3.8155612143947906,3.046152193252368
117,3.98877622870873,3.341783497431493
118,4.161236748159695,2.259907866177457
119,3.865540395553751,2.873735150898966
120,3.793529696843393,3.361381907005807
121,4.042487333428369,3.0623296032212863
122,4.202542415566597,1.9879767012922969
123,3.8688999210514226,2.9659445566673526
124,3.70004657933481,3.030497281845271
125,3.8533679787622077,3.3231333902436972
126,3.9762590886990665,2.5967483729532717
127,3.9800012962654705,2.9172977186229048
128,4.118079959712588,2.3085840721652744
129,3.753860774941643,2.9222951601628893
130,3.8091041129125642,3.0999516526314324
131,3.971852015978641,3.228668735451947
132,4.135566615588004,2.2576214515999027
133,3.9417048292813774,3.0504819060024033
134,3.8732146885492966,3.0927347261612113
135,3.849698177285404,3.1609249794319965
136,4.12350431290713,2.9366251488254136
137,4.156389386216233,2.283616011110041
138,3.833880791128479,3.09923931801157
139,3.8092234241014467,3.1863275606338277
140,4.082213109996246,3.009203223659597
141,4.140037482588241,2.20026452051448
142,3.7997191633459124,3.0549018755351653
143,3.7788601896730256,3.53936086158231
144,3.974789228360919,3.2847316794198775
145,4.122111708027035,2.0848988154162384
146,3.888345554613011,3.090180133140308
147,3.9349968983898407,3.1596888712007285
148,4.247338206983613,2.783165772320473
149,4.095996436863686,2.0790089855455562
150,3.8103902825133673,3.294141461097979
151,3.8608182810953053,3.354531316887943
152,4.154671957251139,2.809178516962845
153,4.1128719886884255,2.3334946723833525
154,3.8994669125700625,3.0636624897995546
155,4.178119574037282,3.2529683779364404
156,4.2290481445103865,2.09376642932628
157,3.8506625327541997,3.1763941725640166
158,3.975261707358186,3.2487576210335476
159,4.172852490882292,2.9341779944014377
160,4.290982858631651,2.111471912958848
161,3.8841383929317885,2.634385388518041
162,3.888086280613777,3.6338623882973025
163,4.207731741604732,2.7809713076238154
164,4.284341146704264,2.0052017211913835
165,3.8954848284786294,3.035561276788542
166,3.967992754687998,3.457053678329686
167,4.286589414309162,2.462039351789855
168,4.0807153239838385,2.0588650429084794
169,3.8793556613660485,3.1544887594980366
170,3.942945013490373,3.319168132625151
171,4.1838110605527845,2.7919886340833955
172,4.250254516915163,1.7190133081723786
173,3.9692637909145105,3.0806759977993465
174,4.036330474748979,3.3886051125722645
175,4.229125734407603,2.1908419883414467
176,3.9373148965705127,2.7447237615715494
177,3.9353942957838512,3.318909360284607
178,4.209685033824371,2.7110956897473955
179,4.222757510146039,2.603470350291559
180,4.110800639426884,2.4912136130136844
181,4.1641879233791315,2.419059439881181
182,4.088154924262028,2.487353557429884
183,3.964654800519554,2.772687039309943
184,3.9896849000485872,3.021778284360323
185,4.150223664897737,3.227036358558962
186,4.1997612190768905,2.0550724813383
187,3.978098504366926,2.9314156728247838
188,4.018913967498349,3.131317264086647
189,4.25984372523061,2.1852861587315715
190,4.12229004773701,1.9095059538540795
191,3.758121363287046,3.1296172050580537
192,3.9796151861948488,3.325089211659872
193,4.381664378858545,2.2944513817355983
194,4.1859977913425155,2.3189858214495587
195,4.031663877199776,2.7142581469392155
196,4.179996781336115,2.9850230595836535
197,4.332303074144306,2.217463809496735
198,4.106765797549713,2.633558675687624
199,3.9881466468915505,2.715201599957112
200,4.005587902643867,3.3043600631086747
201,4.219820214153913,3.2404586582968022
202,4.36787419598727,1.5971332915841856
203,3.9225311784090877,2.649313082760301
204,3.8620446696868953,3.631181084619783
205,4.054113360156748,3.1330296137562073
206,4.239886650503479,1.741378219813413
207,4.009802840036912,2.919516451064794
208,4.2389911895125465,2.7967465126350817
209,4.2940970729671335,2.182230032306819
210,3.904863590919831,2.7998799781276773
211,3.918108052606442,3.4181406308527187
212,4.1809419901599085,3.2090175680918094
213,4.405369095789183,1.8468586542834657
214,3.973382744253456,2.7968736831456056
215,3.9152191666902922,3.49222407928886
216,4.301645784038442,2.96117904872105
217,4.348897613420888,1.6309467263417048
218,3.9742569683545526,3.07048028397233
219,4.144496811435602,2.931856986267917
220,4.454049900316193,2.3465787913701774
221,4.321358968969889,2.1517471313476335
222,4.030090173486144,2.813058701606735
223,4.068837046479587,3.23215288136106
224,4.339144111842302,2.710130226448854
225,4.408629460060411,1.631946448757276
226,3.9513509758727423,2.569267900022652
227,4.082185602370998,3.6242386491331615
228,4.36452252981104,2.117337767718567
229,4.117453220628704,2.601130258220536
230,4.117023633460462,3.2541305332967454
231,4.387572498373743,2.681509775658128
232,4.4337548747651,2.7350481843295142
233,4.534619901787778,2.043984274668219
234,4.296651018012028,2.1009902745077227
235,4.1728871053408625,3.0194908455626717
236,4.205059321468809,2.988617382310821
237,4.374232219852786,1.7513054416604348
238,4.129486176268699,2.8597712686616603
239,3.9643135053033802,2.8582678180851246
240,4.17303567996089,3.350359877494867
241,4.503238801616476,2.029594337776956
242,4.225997055576272,2.637686658885343
243,4.03455109091982,2.9873850365207772
244,4.183454297522985,3.035130435473377
245,4.469107775021939,2.335082736080551
246,4.346555284787485,2.3853401915667973
247,4.174758794392574,2.418085950041501
248,4.158475367193319,2.893677614812958
249,4.333456722207245,2.586135906062708
250,4.3214074626557135,1.7395357732903562
