1798,7.5068208451989475
1799,7.416467727414499
1800,6.9642237044938575
1801,6.469381214054165
1802,6.008071941906152
1803,6.136958430124202
1804,6.259286579833209
1805,6.326678062301564
1806,6.147083405672522
1807,6.0667435496145075
1808,5.959449918517711
1809,5.854825748968894
1810,5.821295346939118
1811,5.924415909640653
1812,6.075635545309495
1813,6.161385329621152
1814,7.613255677332154
1815,7.266077852399204
1816,6.751292974360593
1817,5.984255763411888
1818,5.802013694889634
1819,5.856324423431747
1820,5.2128295468104655
1821,4.651002547712379
1822,4.589205561675631
1823,4.740162587380374
1824,4.328779836605107
1825,4.305595172324081
1826,4.42015881577117
1827,4.427764618323458
1828,4.445969214657718
1829,4.717767558044053
1830,4.870129109109638
1831,4.936384903404495
1832,4.968818957861829
1833,4.88852824102395
1834,4.85056012061659
1835,4.839288219031473
1836,4.916416664906986
1837,4.954799404814205
1838,4.99198646408808
1839,5.141162269153613
1840,5.078781404822713
1841,4.988163140090099
1842,4.937622335312237
1843,4.886413989312813
1844,4.842005406994587
1845,5.109663279979182
1846,5.449695909848152
1847,5.687932865946377
1848,5.737730526159135
1849,5.185685560411995
1850,4.616055685315953
1851,4.468068726757959
1852,4.370948053762702
1853,4.07420063300394
1854,4.104158531918398
1855,4.154744347613251
1856,4.128116983419612
1857,4.265678246901977
1858,4.314786508672219
1859,4.662309643192736
1860,5.477370408650392
1861,6.353563767293789
1862,6.240708696313542
1863,5.985548510107444
1864,4.055716172416615
1865,5.345508022913977
1866,5.521869488559538
1867,5.3447771939190885
1868,5.2893394235262
1869,5.35117098478931
1870,5.397087757829503
1871,5.339729509425644
1872,5.3435991057235865
1873,5.510175083310368
1874,5.462739453749728
1875,5.080633301228093
1876,4.606190790909211
1877,4.4514337453684005
1878,4.33598413135307
1879,4.214255877935704
1880,4.013909669482787
1881,3.704413197960179
1882,3.6342246172869452
1883,3.6158808351858953
1884,3.6034792909768627
1885,3.511451786520454
1886,3.40934312691059
1887,3.505881926334513
1888,3.6104181349552706
1889,3.4629600263486227
1890,3.42338212626191
1891,3.573196690802429
1892,3.613477773522618
1893,3.7059559257988117
1894,3.681768551730428
1895,3.505270283015126
1896,3.552699183105979
1897,3.4078649025023964
1898,3.324744683845626
1899,3.127620377401356
1900,3.1074579494743024
1901,3.1325517159969274
1902,3.1988128676863616
1903,3.356008795305902
1904,3.4257065128294455
1905,3.4131752215634825
1906,3.5558862756455563
1907,3.8174235832319505
1908,3.886291568415801
1909,3.825266848607519
1910,3.9260063890939794
1911,3.981643150444256
1912,4.032202822091471
1913,4.155738782530962
1914,4.154427057328306
1915,4.108941040395837
1916,3.97192368380561
1917,4.188627719768736
1918,4.42202001191218
1919,4.333712128671862
1920,4.915320327996127
1921,5.009259235277702
1922,4.333903279364634
1923,4.353038009371872
1924,4.0525042167114576
1925,3.8549972240951287
1926,3.6697929751915614
1927,3.3619519167932554
1928,3.338952513624745
1929,3.5187738478251784
1930,3.328655918099954
1931,3.3131869742910354
1932,3.649438752354
1933,3.3078672237886657
1934,3.108278698529054
1935,2.7962009284453533
1936,2.6702387293045295
1937,2.655296039173466
1938,2.5457897762302375
1939,2.36156699975237
1940,2.212479317019313
1941,1.939837174840768
1942,2.430955116553101
1943,2.45426720013169
1944,2.4598731352493
1945,2.361348260166967
1946,2.2203767589507764
1947,2.254175279934096
1948,2.3876307682769387
1949,2.340881605664389
1950,2.321636740324292
1951,2.5537869380827485
1952,2.680785551152273
1953,2.814276632930702
1954,2.5528402779250037
1955,2.7220809555215917
1956,2.6468148987564457
1957,2.706679898101931
1958,2.839501679719918
1959,3.368488921512242
1960,3.366771672655827
1961,3.291342160020547
1962,3.286947270249383
1963,3.318683415150697
1964,3.407328689279818
1965,3.3923206932285095
1966,3.729097731669482
1967,3.875133390895465
1968,4.028845802543216
1969,4.634775119872608
1970,4.7681667560746686
1971,3.69941596113852
1972,3.4304996334428646
1973,3.849170149492367
1974,4.119789986437479
1975,3.4588418254084337
1976,2.8615877706964974
1977,2.8900047087211287
1978,3.299986628555388
1979,3.898915680898296
1980,5.172662683186795
1981,6.074542624326298
1982,5.432131214658515
1983,4.32209327998219
1984,4.879727427155019
1985,3.8868751214757324
1986,1.8618501067634439
1987,2.5185702655764746
1988,2.9958656536799944
1989,2.974998700569296
1990,3.714165204966614
1991,3.757516284984185
1992,3.5024899802934306
1993,2.892237054676313
1994,3.66795178291879
1995,3.1911355390866154
1996,3.2805264667923097
1997,3.139307964528601
1998,2.3842686695057793
1999,3.000018447282575
2000,3.244959831825139
2001,2.74362656408908
2002,2.625691495583794
2003,2.305827187205493
2004,2.4967340527746553
2005,2.5355182451848735
2006,2.7027312955446225
2007,2.6691978426464553
2008,2.1452500630703013
2009,2.0755977254262263
2010,2.0604977568994656
2011,1.7368400448270283
2012,0.8481760873926026
2013,1.357242708959189
2014,1.3005690046659202
2015,0.8152838355991545
2016,0.5155542010371693
2017,0.9964902842842637
